"","Var1","value","rel","split","total","Confidence.Interval","Lower.limit","Upper.limit","alpha","pvalue","p.adjust","sig","new_id"
"1","exc",460,0.542452830188679,"ctrl",848,"two.sided",0.508233655280605,0.576376022611459,0.05,3.2981766851333e-06,9.89453005539989e-06,"***","exc ***"
"2","exc",176,0.403669724770642,"sparse",436,"two.sided",0.357260254960305,0.45139540993219,0.05,3.2981766851333e-06,9.89453005539989e-06,"***","exc ***"
"3","exc/inh",108,0.127358490566038,"ctrl",848,"two.sided",0.105656876299131,0.151686653956719,0.05,0.048074600923027,0.048074600923027,"*","exc/inh *"
"4","exc/inh",74,0.169724770642202,"sparse",436,"two.sided",0.135684402635332,0.208320516827864,0.05,0.048074600923027,0.048074600923027,"*","exc/inh *"
"5","inh",280,0.330188679245283,"ctrl",848,"two.sided",0.298583338955737,0.362979516170637,0.05,0.000833899607122381,0.00125084941068357,"**","inh **"
"6","inh",186,0.426605504587156,"sparse",436,"two.sided",0.37967048209168,0.474543109744074,0.05,0.000833899607122381,0.00125084941068357,"**","inh **"
