"","Var1","value","rel","split","total","Confidence.Interval","Lower.limit","Upper.limit","alpha","pvalue","p.adjust","sig","new_id"
"1","Neuroblast",232,0.214814814814815,"ctrl",1080,"two.sided",0.190661930057019,0.240532075176301,0.05,0.4887982135443,0.4887982135443,"","Neuroblast "
"2","Neuroblast",131,0.231040564373898,"sparse",567,"two.sided",0.196942169081321,0.267968816668297,0.05,0.4887982135443,0.4887982135443,"","Neuroblast "
"3","Neuron",848,0.785185185185185,"ctrl",1080,"two.sided",0.759467924823699,0.809338069942981,0.05,0.4887982135443,0.4887982135443,"","Neuron "
"4","Neuron",436,0.768959435626102,"sparse",567,"two.sided",0.732031183331703,0.803057830918679,0.05,0.4887982135443,0.4887982135443,"","Neuron "
