"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"52","MEGLU4","MEGLU4",-0.0846652751275524,0.932527503242925,0.977693456590577,"",NA,"SCEXC4","SCEXC4"
"53","MEGLU5","MEGLU4",1.71607185131694,0.086148892471702,0.87992861900656,"",NA,"SCEXC5","SCEXC4"
"54","MEGLU6","MEGLU4",1.2226991043593,0.221443365399526,0.87992861900656,"",NA,"SCEXC6","SCEXC4"
"55","MEINH2","MEGLU4",-0.296848945103129,0.76658183594354,0.977693456590577,"",NA,"SCINH1","SCEXC4"
"56","MEINH3","MEGLU4",-1.86236750014426,0.0625513069059224,0.87992861900656,"",NA,"SCINH2","SCEXC4"
"57","MEINH5","MEGLU4",-0.381841100221126,0.70257923090423,0.977693456590577,"",NA,"SCINH3","SCEXC4"
"58","MEINH6","MEGLU4",0.62232288652714,0.53372957505954,0.977693456590577,"",NA,"SCINH4","SCEXC4"
"59","MEINH7","MEGLU4",-0.358867419141515,0.719694274061971,0.977693456590577,"",NA,"SCINH5","SCEXC4"
"60","MEINH8","MEGLU4",0.114956674529796,0.908479463022097,0.977693456590577,"",NA,"SCINH6","SCEXC4"
"61","MEINH9","MEGLU4",-0.226169893266067,0.82106928563047,0.977693456590577,"",NA,"SCINH7","SCEXC4"
"62","MEINH10","MEGLU4",1.46187213089307,0.143776253271074,0.87992861900656,"",NA,"SCINH8","SCEXC4"
"63","MEINH11","MEGLU4",0.0567067885965578,0.954778766201735,0.977693456590577,"",NA,"SCINH9","SCEXC4"
"64","MEINH12","MEGLU4",-1.04112345089304,0.29781825701754,0.87992861900656,"",NA,"SCINH10","SCEXC4"
"65","MEGLU1","MEGLU5",0.381938759744726,0.702506789655705,0.977693456590577,"",NA,"SCEXC1","SCEXC5"
"66","MEGLU2","MEGLU5",-1.89178694018208,0.0585193740472417,0.87992861900656,"",NA,"SCEXC2","SCEXC5"
"67","MEGLU3","MEGLU5",-1.77759145845273,0.0754709776660356,0.87992861900656,"",NA,"SCEXC3","SCEXC5"
"68","MEGLU4","MEGLU5",1.71607185131694,0.086148892471702,0.87992861900656,"",NA,"SCEXC4","SCEXC5"
"69","MEGLU5","MEGLU5",-0.640356251238026,0.52194101812395,0.977693456590577,"",NA,"SCEXC5","SCEXC5"
"70","MEGLU6","MEGLU5",1.3037030331577,0.192334854857426,0.87992861900656,"",NA,"SCEXC6","SCEXC5"
"71","MEINH2","MEGLU5",0.0688732360385226,0.945090522465059,0.977693456590577,"",NA,"SCINH1","SCEXC5"
"72","MEINH3","MEGLU5",-0.554663746536802,0.579124677778635,0.977693456590577,"",NA,"SCINH2","SCEXC5"
"73","MEINH5","MEGLU5",0.531470691363821,0.595092646010234,0.977693456590577,"",NA,"SCINH3","SCEXC5"
"74","MEINH6","MEGLU5",-0.730912764180922,0.464832439012644,0.955479220729165,"",NA,"SCINH4","SCEXC5"
"75","MEINH7","MEGLU5",0.87195049281322,0.383235386171065,0.87992861900656,"",NA,"SCINH5","SCEXC5"
"76","MEINH8","MEGLU5",-1.31834697119451,0.187387523776922,0.87992861900656,"",NA,"SCINH6","SCEXC5"
"77","MEINH9","MEGLU5",1.06045306301928,0.288938532663307,0.87992861900656,"",NA,"SCINH7","SCEXC5"
"78","MEINH10","MEGLU5",-0.715801471400517,0.47411394374778,0.955479220729165,"",NA,"SCINH8","SCEXC5"
"79","MEINH11","MEGLU5",0.776130417744821,0.437671985300896,0.941576660253234,"",NA,"SCINH9","SCEXC5"
"80","MEINH12","MEGLU5",0.036698888342558,0.970725095021647,0.98613342986326,"",NA,"SCINH10","SCEXC5"
"81","MEGLU1","MEGLU6",-1.51980773881383,0.128559303563092,0.87992861900656,"",NA,"SCEXC1","SCEXC6"
"82","MEGLU2","MEGLU6",-1.16195344633464,0.24525437547258,0.87992861900656,"",NA,"SCEXC2","SCEXC6"
