"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sln",1.0576386890864e-257,2.56169573978926,0.448,0.006,1.59502490701119e-253,"MEGLU6","Sln"
"Gda",5.04187593707276e-250,2.8716829643804,0.895,0.069,7.60365310069943e-246,"MEGLU6","Gda"
"Tmem132c",2.76826685127296e-243,1.55800049864703,0.762,0.044,4.17482323840475e-239,"MEGLU6","Tmem132c"
"Cbln2",4.10143905574425e-232,2.50430005389638,0.937,0.089,6.18538023996791e-228,"MEGLU6","Cbln2"
"Npnt",5.7663248617895e-230,3.00283468170403,0.965,0.102,8.69619452406474e-226,"MEGLU6","Npnt"
"Gpc3",1.31099277229921e-223,0.878193620409597,0.503,0.015,1.97710819990444e-219,"MEGLU6","Gpc3"
"Hpgd",1.16570504946747e-197,0.607602693720938,0.336,0.004,1.7579997851019e-193,"MEGLU6","Hpgd"
"Kcnd3",2.88283987754189e-172,2.3460498639772,0.958,0.152,4.34761081932093e-168,"MEGLU6","Kcnd3"
"Scml2",1.92598094791455e-161,0.436380357139681,0.259,0.003,2.90457186754994e-157,"MEGLU6","Scml2"
"Amhr2",2.18100516320086e-151,0.411055192742114,0.273,0.004,3.28917388662322e-147,"MEGLU6","Amhr2"
"Egflam",3.06659125925259e-151,0.570381725710203,0.399,0.016,4.62472627807882e-147,"MEGLU6","Egflam"
"Hcn1",1.40205873871755e-144,1.96205097521532,0.923,0.169,2.11444478385994e-140,"MEGLU6","Hcn1"
"Tpd52l1",4.06851049491292e-136,2.78991701187972,0.888,0.171,6.13572067737818e-132,"MEGLU6","Tpd52l1"
"Necab1",5.14164294301091e-129,1.54922863224281,0.734,0.096,7.75411172235476e-125,"MEGLU6","Necab1"
"Atrnl1",5.37805123670864e-126,1.35593417564419,0.832,0.135,8.1106390700803e-122,"MEGLU6","Atrnl1"
"Scn3a",2.51552356834631e-122,1.92973672374049,0.986,0.26,3.79366109342307e-118,"MEGLU6","Scn3a"
"Pex5l",1.17435745711903e-121,1.25429763670774,0.72,0.099,1.77104848108121e-117,"MEGLU6","Pex5l"
"Tmem132b",1.62068322177671e-118,0.933392981623477,0.657,0.078,2.44415236676145e-114,"MEGLU6","Tmem132b"
"Bcl11b",2.52458681983036e-118,1.197232042222,0.741,0.106,3.80732938298616e-114,"MEGLU6","Bcl11b"
"Socs2",5.25285457091217e-117,0.770584043902176,0.559,0.053,7.92182997839265e-113,"MEGLU6","Socs2"
"Fam19a1",1.12845723317818e-113,1.68268853318301,0.93,0.204,1.70182635335601e-109,"MEGLU6","Fam19a1"
"Rasgrp1",1.15400564975286e-110,1.07570451378123,0.643,0.082,1.74035592039228e-106,"MEGLU6","Rasgrp1"
"Moxd1",9.90242248302555e-106,0.271502078330843,0.175,0.002,1.49338433466508e-101,"MEGLU6","Moxd1"
"Sv2b",4.16898414941521e-102,1.16611805897295,0.741,0.123,6.28724499573308e-98,"MEGLU6","Sv2b"
"Slc1a1",4.72423483575626e-102,1.76711945891972,0.881,0.233,7.12461855580401e-98,"MEGLU6","Slc1a1"
"Nell2",5.78774633023187e-100,1.61102063313048,0.895,0.215,8.72850024062268e-96,"MEGLU6","Nell2"
"Strip2",6.33525829547631e-99,0.696365095629982,0.497,0.05,9.55420303540783e-95,"MEGLU6","Strip2"
"Pou4f1",2.36223229846191e-95,0.991297457408273,0.538,0.064,3.56248252931041e-91,"MEGLU6","Pou4f1"
"Tmtc1",1.62806126513437e-94,1.18784159860741,0.727,0.136,2.45527919394915e-90,"MEGLU6","Tmtc1"
"Kcnc2",2.42670430514882e-89,1.57061064887306,0.902,0.264,3.65971276259494e-85,"MEGLU6","Kcnc2"
"Prex2",5.70466325399387e-89,1.01660347232748,0.58,0.083,8.60320265334816e-85,"MEGLU6","Prex2"
"Gabrd",1.18440864448494e-85,0.310170982110153,0.168,0.003,1.78620667674774e-81,"MEGLU6","Gabrd"
"Elmod1",2.20911736834459e-85,1.76846816304585,0.916,0.324,3.33156990320048e-81,"MEGLU6","Elmod1"
"Lhx9",7.14310525538251e-85,0.802434038991933,0.538,0.071,1.07725170356424e-80,"MEGLU6","Lhx9"
"Nrn1",1.7264654759009e-84,1.5924044462392,0.965,0.275,2.60368258420614e-80,"MEGLU6","Nrn1"
"Gpr149",1.6038421855747e-80,0.398056232797448,0.28,0.017,2.41875440006521e-76,"MEGLU6","Gpr149"
"Serpine2",2.60323311463061e-80,1.31984826520757,0.671,0.13,3.92593586017442e-76,"MEGLU6","Serpine2"
"Ttc28",2.09118152077436e-79,0.937800841952115,0.566,0.089,3.15371085147982e-75,"MEGLU6","Ttc28"
"Hddc2",2.17607142486026e-78,1.31482014734275,0.692,0.15,3.28173331583176e-74,"MEGLU6","Hddc2"
"Fam212b",2.25729855308989e-78,0.234505800988549,0.168,0.004,3.40423194791486e-74,"MEGLU6","Fam212b"
"Kcnb2",3.29002654308011e-78,1.16072825035071,0.706,0.156,4.96168902961911e-74,"MEGLU6","Kcnb2"
"Gabra4",7.95900762065715e-78,0.928920660684506,0.531,0.078,1.20029793927131e-73,"MEGLU6","Gabra4"
"Gria2",6.98363489135044e-77,1.88195521259187,1,0.894,1.05320197796456e-72,"MEGLU6","Gria2"
"Meis2",2.1205702569542e-75,1.65493811614715,0.986,0.373,3.19803200451263e-71,"MEGLU6","Meis2"
"Cdh13",3.26732704404752e-73,1.46618769320065,0.86,0.275,4.92745591512807e-69,"MEGLU6","Cdh13"
"Fgf13",2.510075925235e-71,1.03084802964095,0.748,0.183,3.7854455028469e-67,"MEGLU6","Fgf13"
"Satb1",2.0128565045742e-70,1.13613266909693,0.573,0.104,3.03558889454835e-66,"MEGLU6","Satb1"
"Slc17a6",1.96651130187813e-69,1.23012393568623,0.832,0.228,2.9656956943624e-65,"MEGLU6","Slc17a6"
"Rora",8.74890077189248e-68,1.75472869006853,0.944,0.462,1.31942172540911e-63,"MEGLU6","Rora"
"Sema3e",9.2377100050237e-67,0.486477643020894,0.35,0.036,1.39313904585762e-62,"MEGLU6","Sema3e"
"Scn2a1",6.94574933682797e-66,1.48112307924012,0.972,0.587,1.04748845748703e-61,"MEGLU6","Scn2a1"
"Ppp1r1b",7.85391200193132e-65,0.473576166103354,0.273,0.021,1.18444846901126e-60,"MEGLU6","Ppp1r1b"
"Kcnip2",1.87160044530555e-64,0.892219827863403,0.615,0.129,2.8225606315653e-60,"MEGLU6","Kcnip2"
"AA467197",2.02499700111753e-64,0.335501073725508,0.133,0.003,3.05389797738535e-60,"MEGLU6","AA467197"
"Cplx2",3.52249990486202e-63,2.36932056212041,0.958,0.644,5.31228210652241e-59,"MEGLU6","Cplx2"
"Sepw1",5.3303610610371e-63,2.24354165098189,0.993,0.984,8.03871751615004e-59,"MEGLU6","Sepw1"
"Gas7",1.31769699860949e-62,0.898381522683299,0.664,0.158,1.98721884360297e-58,"MEGLU6","Gas7"
"Atp2b1",1.31556361152357e-61,1.69586146969373,0.965,0.676,1.98400148253869e-57,"MEGLU6","Atp2b1"
"Sez6",2.52936641698497e-61,1.17928591326992,0.713,0.194,3.81453749345503e-57,"MEGLU6","Sez6"
"Nrbp2",6.13789207150273e-61,1.10414814539408,0.72,0.205,9.25655503303326e-57,"MEGLU6","Nrbp2"
"Sorl1",8.57531301121981e-60,1.30719378547415,0.86,0.318,1.29324295522206e-55,"MEGLU6","Sorl1"
"Tmem163",2.47748136941824e-59,0.815609962740891,0.629,0.138,3.73628965321965e-55,"MEGLU6","Tmem163"
"Grm1",2.70763148969246e-59,1.18348918567964,0.776,0.246,4.0833790496052e-55,"MEGLU6","Grm1"
"Syt4",7.45662491079087e-59,1.45147286462035,0.958,0.428,1.12453360279637e-54,"MEGLU6","Syt4"
"Ephb1",2.45789923093355e-58,0.954667517780751,0.755,0.225,3.70675783017089e-54,"MEGLU6","Ephb1"
"Vldlr",4.28092146523014e-58,0.946696923034453,0.671,0.173,6.45605766171357e-54,"MEGLU6","Vldlr"
"Camk2a",7.86904134086501e-58,1.36237576688112,0.811,0.308,1.18673012461585e-53,"MEGLU6","Camk2a"
"Gpr155",8.09243797597991e-58,0.637458252362018,0.517,0.097,1.22042057115753e-53,"MEGLU6","Gpr155"
"Msrb2",2.6666642994129e-56,0.666555619328627,0.469,0.082,4.0215964299446e-52,"MEGLU6","Msrb2"
"Lmo3",4.11878346249259e-56,1.0516706364599,0.734,0.208,6.21153733978508e-52,"MEGLU6","Lmo3"
"Trub1",4.25177977225329e-56,0.681502605693754,0.483,0.086,6.41210907453519e-52,"MEGLU6","Trub1"
"Adcy2",8.85960852300575e-56,0.886509485408596,0.692,0.186,1.3361175613545e-51,"MEGLU6","Adcy2"
"Jup",1.95085210780602e-55,0.464448177752547,0.343,0.042,2.94208006378225e-51,"MEGLU6","Jup"
"Epha5",5.60710104205704e-55,1.32397482034448,0.944,0.461,8.45606908152622e-51,"MEGLU6","Epha5"
"Asic2",1.42521630769621e-54,0.764085926644759,0.629,0.15,2.14936871363665e-50,"MEGLU6","Asic2"
"Camk2d",1.57059787960051e-54,1.4793434218069,0.923,0.523,2.36861866222554e-50,"MEGLU6","Camk2d"
"Bzrap1",3.07791057743195e-54,0.981384321832653,0.727,0.23,4.64179694182513e-50,"MEGLU6","Bzrap1"
"Barhl2",3.9291326780782e-54,0.431983006334442,0.287,0.03,5.92552499180973e-50,"MEGLU6","Barhl2"
"Cacna1d",3.61371446376315e-53,0.821716102287171,0.573,0.136,5.44984278280121e-49,"MEGLU6","Cacna1d"
"Zfp703",8.06601072125583e-53,0.446662812790435,0.273,0.028,1.21643507687259e-48,"MEGLU6","Zfp703"
"Ogfrl1",2.74543172767947e-52,1.43299436638592,0.867,0.413,4.14038558851341e-48,"MEGLU6","Ogfrl1"
"2900055J20Rik",1.13141840837035e-51,1.21625960674738,0.818,0.339,1.70629210166332e-47,"MEGLU6","2900055J20Rik"
"Cpne6",2.25412770153878e-51,0.601715684929711,0.476,0.09,3.39944998669063e-47,"MEGLU6","Cpne6"
"Cdk17",2.41173962767622e-51,0.802939403581669,0.573,0.137,3.63714453249851e-47,"MEGLU6","Cdk17"
"Enc1",1.05773821973966e-50,0.835696930686544,0.664,0.183,1.59517500918938e-46,"MEGLU6","Enc1"
"Igsf11",1.06903807821515e-50,0.212877266398554,0.154,0.008,1.61221632575626e-46,"MEGLU6","Igsf11"
"Prkcg",1.27433361772266e-50,0.707953492998366,0.455,0.085,1.92182252888755e-46,"MEGLU6","Prkcg"
"Wls",6.9656128928222e-50,0.534740236893947,0.434,0.077,1.05048408036652e-45,"MEGLU6","Wls"
"Gabrb3",2.13975785370065e-49,1.1985494598759,0.874,0.433,3.22696881916595e-45,"MEGLU6","Gabrb3"
"Ephx4",2.25562810457167e-49,0.768674453893544,0.497,0.104,3.40171274450454e-45,"MEGLU6","Ephx4"
"Myt1l",2.46295845689259e-49,1.20010405604355,0.874,0.468,3.71438764883971e-45,"MEGLU6","Myt1l"
"Grik1",7.24658275583506e-49,0.255739179794172,0.189,0.013,1.09285714540748e-44,"MEGLU6","Grik1"
"Kctd8",1.43376058339553e-48,0.578037382416569,0.434,0.079,2.1622543358188e-44,"MEGLU6","Kctd8"
"Mgll",8.29317387666581e-48,0.937060603598571,0.727,0.224,1.25069355233997e-43,"MEGLU6","Mgll"
"Pou4f2",1.5291014446576e-47,0.577059567600083,0.287,0.033,2.30603788868812e-43,"MEGLU6","Pou4f2"
"Nhlh2",1.73015794308385e-47,0.399255979262339,0.21,0.018,2.60925119396475e-43,"MEGLU6","Nhlh2"
"B3gat1",4.77365263977247e-47,0.959603699102298,0.748,0.255,7.19914554604086e-43,"MEGLU6","B3gat1"
"Tacr1",5.91170170944663e-47,0.500812528149759,0.357,0.054,8.91543734801646e-43,"MEGLU6","Tacr1"
"Ccdc85a",1.04763364648988e-46,1.08188831211291,0.741,0.266,1.57993630227139e-42,"MEGLU6","Ccdc85a"
"Ptprz1",1.10107132927335e-46,0.57580006735321,0.427,0.079,1.66052567167714e-42,"MEGLU6","Ptprz1"
"Adgrg2",1.6690131034783e-46,0.303405761810203,0.266,0.03,2.51703866135562e-42,"MEGLU6","Adgrg2"
"S100a10",2.31686591199623e-46,0.779458901443338,0.336,0.049,3.49406548188151e-42,"MEGLU6","S100a10"
"Calm1",2.09380984021927e-45,1.62183503815659,0.986,0.983,3.15767462003468e-41,"MEGLU6","Calm1"
"Thy1",5.22565525089394e-45,1.32559617195097,0.993,0.827,7.88081068387316e-41,"MEGLU6","Thy1"
"Nipal3",5.56702128187317e-45,1.04446504477108,0.832,0.383,8.39562479519293e-41,"MEGLU6","Nipal3"
"Fam65b",1.09380155936497e-44,0.705248468006127,0.552,0.137,1.64956213167831e-40,"MEGLU6","Fam65b"
"Arf3",1.17604996832417e-44,1.09193244458025,0.958,0.677,1.77360095722967e-40,"MEGLU6","Arf3"
"Kcnip4",1.87497406890957e-44,0.97208302753978,0.748,0.279,2.82764839332252e-40,"MEGLU6","Kcnip4"
"Gabbr1",2.40963136007324e-44,1.13837651816608,0.972,0.806,3.63396505412645e-40,"MEGLU6","Gabbr1"
"Sla",2.51511870609832e-44,0.205021090853638,0.133,0.006,3.79305052066687e-40,"MEGLU6","Sla"
"Rasd2",3.2578077630163e-44,0.530247022649307,0.413,0.077,4.91309988740488e-40,"MEGLU6","Rasd2"
"Ephb6",1.02360455481504e-43,0.67772462758144,0.49,0.113,1.54369802911656e-39,"MEGLU6","Ephb6"
"Shisa6",1.10941765090883e-43,0.320888372274988,0.203,0.018,1.67311275933561e-39,"MEGLU6","Shisa6"
"Dclk1",1.61590082238885e-43,1.12357406457056,0.902,0.498,2.43694003024462e-39,"MEGLU6","Dclk1"
"Lrrn1",1.66581596367834e-43,0.740916442902923,0.469,0.105,2.51221705482331e-39,"MEGLU6","Lrrn1"
"Hs6st2",1.98067970979481e-43,1.07118456097351,0.755,0.304,2.98706307034155e-39,"MEGLU6","Hs6st2"
"Cacna2d1",2.36001683322182e-43,0.949612980169193,0.65,0.198,3.55914138618183e-39,"MEGLU6","Cacna2d1"
"Ppp3ca",3.04835251606352e-43,1.42445867748641,0.951,0.781,4.5972204294754e-39,"MEGLU6","Ppp3ca"
"Reep5",1.11435748973657e-42,1.17987479191017,0.958,0.629,1.68056253027172e-38,"MEGLU6","Reep5"
"Qrfpr",6.35108585850047e-42,0.208437580295958,0.133,0.007,9.57807258320457e-38,"MEGLU6","Qrfpr"
"Pak1",8.7291986757949e-42,1.4311103970615,0.881,0.554,1.31645045229663e-37,"MEGLU6","Pak1"
"Arpp21",1.04679106439627e-41,1.28524612074128,0.741,0.309,1.57866560421602e-37,"MEGLU6","Arpp21"
"Arhgap32",1.35209506961974e-41,0.979760213768654,0.72,0.284,2.03909457449354e-37,"MEGLU6","Arhgap32"
"Dpp6",1.62377202912429e-41,1.11543443627196,0.902,0.495,2.44881059712233e-37,"MEGLU6","Dpp6"
"Chl1",2.17637128283886e-41,0.992013109103709,0.699,0.258,3.28218553164929e-37,"MEGLU6","Chl1"
"Gad2",3.11996224359099e-41,-2.07635088613011,0,0.643,4.70521505955957e-37,"MEGLU6","Gad2"
"Chrm1",5.1916535978634e-41,0.203808232403988,0.133,0.007,7.82953279093779e-37,"MEGLU6","Chrm1"
"Gad1",5.35341990500591e-41,-2.23793032417002,0.014,0.648,8.07349255873942e-37,"MEGLU6","Gad1"
"Tmem106b",7.46134743362179e-41,1.00402401646025,0.762,0.335,1.1252458064645e-36,"MEGLU6","Tmem106b"
"Nav2",1.62386108680131e-40,0.95494347374804,0.755,0.327,2.44894490500505e-36,"MEGLU6","Nav2"
"Serinc1",1.95185695999241e-40,1.06809390670195,0.993,0.838,2.94359548136455e-36,"MEGLU6","Serinc1"
"Epha4",2.30996273436447e-40,1.20636634372933,0.776,0.362,3.48365479969505e-36,"MEGLU6","Epha4"
"Kcnj2",5.96434779897906e-40,0.319963162595653,0.231,0.026,8.99483291564032e-36,"MEGLU6","Kcnj2"
"Ncdn",7.01833350598588e-40,1.420727184245,0.937,0.742,1.05843487603773e-35,"MEGLU6","Ncdn"
"Ncald",8.86352807402195e-40,1.31039512425154,0.888,0.545,1.33670866884325e-35,"MEGLU6","Ncald"
"Tmem158",1.57568101984136e-39,0.909441873777408,0.531,0.15,2.37628454602275e-35,"MEGLU6","Tmem158"
"Htr1d",1.97243437384601e-39,0.224001674198105,0.154,0.011,2.97462827919717e-35,"MEGLU6","Htr1d"
"Zfp503",2.13191849018804e-39,0.216244960766324,0.154,0.011,3.21514627505258e-35,"MEGLU6","Zfp503"
"App",3.52103659492587e-39,1.08005695325764,0.979,0.743,5.3100752888077e-35,"MEGLU6","App"
"Slitrk1",4.90733057797217e-39,0.622626710006542,0.497,0.125,7.40074524463983e-35,"MEGLU6","Slitrk1"
"Syp",5.13678620416911e-39,1.15769215033085,0.986,0.879,7.74678727450743e-35,"MEGLU6","Syp"
"4430402I18Rik",1.0354838862735e-38,0.797505764054939,0.629,0.211,1.56161324888906e-34,"MEGLU6","4430402I18Rik"
"Ctxn1",1.11441052862122e-38,0.847630494906732,0.594,0.177,1.68064251821366e-34,"MEGLU6","Ctxn1"
"Nell1",1.36332953760386e-38,0.810883968422241,0.643,0.215,2.05603727566038e-34,"MEGLU6","Nell1"
"Gabra2",1.38284191560772e-38,0.925420813762063,0.874,0.433,2.085463892928e-34,"MEGLU6","Gabra2"
"Tenm2",1.66105670672311e-38,1.00078168022333,0.86,0.431,2.50503961940913e-34,"MEGLU6","Tenm2"
"mt-Cytb",1.67746187189457e-38,0.952061141551948,1,0.995,2.5297802490042e-34,"MEGLU6","mt-Cytb"
"Dap",1.68472072146467e-38,0.329080375502015,0.21,0.023,2.54072732004087e-34,"MEGLU6","Dap"
"Trhde",1.94539264133018e-38,0.476596779287804,0.385,0.076,2.93384664239005e-34,"MEGLU6","Trhde"
"Mab21l1",2.2818916546039e-38,0.567104739587731,0.455,0.107,3.44132080430815e-34,"MEGLU6","Mab21l1"
"Car11",2.54099774063227e-38,0.843038753333388,0.874,0.432,3.83207869264753e-34,"MEGLU6","Car11"
"Osbpl3",5.95198098358845e-38,0.344685602277207,0.28,0.041,8.97618252134974e-34,"MEGLU6","Osbpl3"
"Prkab2",7.16557160189432e-38,0.675925637214822,0.503,0.132,1.08063985328168e-33,"MEGLU6","Prkab2"
"Pdgfa",1.33726683752087e-37,0.824767585033116,0.79,0.351,2.01673211766523e-33,"MEGLU6","Pdgfa"
"Shisa9",2.28390869855198e-37,0.84778991468656,0.58,0.184,3.44436270828625e-33,"MEGLU6","Shisa9"
"Arid1b",2.34375427898705e-37,0.663766478183796,0.559,0.165,3.53461582814036e-33,"MEGLU6","Arid1b"
"Gabbr2",2.39952029314671e-37,1.05372965907275,0.818,0.438,3.61871655409456e-33,"MEGLU6","Gabbr2"
"Fth1",4.71754671126464e-37,1.09529370746848,0.986,0.992,7.1145321952582e-33,"MEGLU6","Fth1"
"Slc2a13",1.11087740197362e-36,0.657181483802579,0.483,0.128,1.67531420991642e-32,"MEGLU6","Slc2a13"
"Mpped1",1.47202808287941e-36,0.53436526742052,0.371,0.075,2.21996555179044e-32,"MEGLU6","Mpped1"
"Cx3cl1",1.53769817044659e-36,1.08315483463884,0.895,0.587,2.3190026108505e-32,"MEGLU6","Cx3cl1"
"Cachd1",2.64319321026529e-36,0.828912326119434,0.622,0.215,3.98619968040109e-32,"MEGLU6","Cachd1"
"Fxyd7",2.67179647452946e-36,0.979676845889623,0.818,0.368,4.02933626323787e-32,"MEGLU6","Fxyd7"
"Frrs1l",4.78306800597209e-36,1.09333370480884,0.867,0.518,7.21334485980651e-32,"MEGLU6","Frrs1l"
"Cd24a",5.38501966618143e-36,0.979658388657575,0.49,0.131,8.12114815856822e-32,"MEGLU6","Cd24a"
"Bhlhe40",1.04812524930299e-35,0.783535240698413,0.49,0.137,1.58067768847384e-31,"MEGLU6","Bhlhe40"
"Nrxn1",1.05271319506161e-35,0.971919204047779,0.937,0.698,1.58759676947242e-31,"MEGLU6","Nrxn1"
"Tspan7",1.4682436449604e-35,1.06113818371287,0.986,0.802,2.21425824096478e-31,"MEGLU6","Tspan7"
"Ptprd",1.57891998533005e-35,0.994044500081438,0.825,0.433,2.38116922987625e-31,"MEGLU6","Ptprd"
"Kcnq2",1.80878777963035e-35,0.873916818526027,0.811,0.39,2.72783285046054e-31,"MEGLU6","Kcnq2"
"Gnao1",3.9325162723309e-35,1.1992834269026,0.895,0.695,5.93062779030222e-31,"MEGLU6","Gnao1"
"Calb1",4.15140983926414e-35,0.933460945855026,0.483,0.126,6.26074117859424e-31,"MEGLU6","Calb1"
"Ank2",4.29496286745913e-35,1.01518687125548,0.93,0.636,6.47723350041512e-31,"MEGLU6","Ank2"
"Nedd4l",4.59923334959016e-35,0.730881729066366,0.636,0.228,6.93610381451693e-31,"MEGLU6","Nedd4l"
"Dach1",7.63579811110586e-35,0.369949609750306,0.231,0.03,1.15155471313587e-30,"MEGLU6","Dach1"
"Ttpal",1.04670629080916e-34,0.516441916727495,0.462,0.117,1.57853775716929e-30,"MEGLU6","Ttpal"
"Chn1",1.09606954197108e-34,1.05490034768393,0.888,0.575,1.65298247624658e-30,"MEGLU6","Chn1"
"Luzp1",1.22354789306006e-34,1.09869185729763,0.762,0.401,1.84523257752388e-30,"MEGLU6","Luzp1"
"Nptx1",1.55588743798945e-34,0.762346140025244,0.671,0.251,2.34643384523188e-30,"MEGLU6","Nptx1"
"Rnf150",1.7973631268758e-34,0.515978040923859,0.42,0.099,2.7106033316414e-30,"MEGLU6","Rnf150"
"Rmst",2.74031035218743e-34,0.762889525060694,0.615,0.21,4.13266204213387e-30,"MEGLU6","Rmst"
"Dock4",3.10579299678291e-34,0.398804472422491,0.336,0.065,4.68384641844831e-30,"MEGLU6","Dock4"
"Rtn1",3.88891853099813e-34,0.98061442479211,1,0.842,5.86487803659827e-30,"MEGLU6","Rtn1"
"Atp2b2",4.70244318786589e-34,0.903517754657071,0.965,0.652,7.09175457162055e-30,"MEGLU6","Atp2b2"
"Fam81a",6.27765702647865e-34,0.530414281943552,0.399,0.092,9.46733456163245e-30,"MEGLU6","Fam81a"
"Ets2",6.97596543449058e-34,0.568805049183236,0.51,0.145,1.05204534717552e-29,"MEGLU6","Ets2"
"mt-Nd1",7.06210934388985e-34,0.984263498628523,1,0.999,1.06503671015203e-29,"MEGLU6","mt-Nd1"
"Trim37",7.82945473869809e-34,0.91643673080599,0.888,0.539,1.18076006914306e-29,"MEGLU6","Trim37"
"Pcsk2",1.0855507179821e-33,0.90429524152056,0.804,0.435,1.6371190377888e-29,"MEGLU6","Pcsk2"
"Sort1",1.08608502273685e-33,0.746715804228661,0.622,0.224,1.63792482278944e-29,"MEGLU6","Sort1"
"Nrcam",1.87485421411133e-33,0.682320046948647,0.552,0.18,2.8274676403013e-29,"MEGLU6","Nrcam"
"Kif1a",2.63350527649246e-33,0.933509633739238,0.972,0.797,3.97158930747829e-29,"MEGLU6","Kif1a"
"Adgrl1",2.80966394971937e-33,0.993542023379428,0.916,0.641,4.23725420257178e-29,"MEGLU6","Adgrl1"
"mt-Nd4",2.81132465783302e-33,0.892336485171478,1,0.992,4.23975871647798e-29,"MEGLU6","mt-Nd4"
"Man1a2",3.02894028157772e-33,0.86678346671206,0.713,0.322,4.56794483864736e-29,"MEGLU6","Man1a2"
"Rtn3",3.54959593047265e-33,0.922276216954435,0.986,0.885,5.3531456227458e-29,"MEGLU6","Rtn3"
"Adam23",4.1898621219695e-33,0.651671382242648,0.664,0.236,6.3187310661422e-29,"MEGLU6","Adam23"
"Syt11",5.02914257995875e-33,0.952257067446077,0.986,0.874,7.5844499248358e-29,"MEGLU6","Syt11"
"Basp1",5.41301207859619e-33,1.18569231730063,0.895,0.75,8.16336351573091e-29,"MEGLU6","Basp1"
"Pls3",6.19501863189502e-33,0.708865058658241,0.483,0.136,9.34270759876088e-29,"MEGLU6","Pls3"
"Olfm1",1.04057691613147e-32,1.13637599923745,0.951,0.74,1.56929404721788e-28,"MEGLU6","Olfm1"
"Ctnnd2",1.68397479580919e-32,0.910383339447521,0.776,0.376,2.53960238955983e-28,"MEGLU6","Ctnnd2"
"Syne1",1.86576739245607e-32,0.968124626581411,0.769,0.393,2.81376380456299e-28,"MEGLU6","Syne1"
"Cnih2",1.92398519268897e-32,1.06378782253136,0.881,0.598,2.90156206909424e-28,"MEGLU6","Cnih2"
"Mgat5",2.65050353914555e-32,0.897615964140055,0.622,0.244,3.9972243873854e-28,"MEGLU6","Mgat5"
"Nkd1",3.38174235034888e-32,0.395196542857987,0.28,0.048,5.10000563856114e-28,"MEGLU6","Nkd1"
"Cnksr2",6.13611271313256e-32,0.482337605653043,0.336,0.07,9.25387158267522e-28,"MEGLU6","Cnksr2"
"Nudt4",7.6344976602649e-32,0.913130106127447,0.706,0.319,1.15135859214455e-27,"MEGLU6","Nudt4"
"Celf1",1.07243838104651e-31,0.811890917183059,0.776,0.392,1.61734432245624e-27,"MEGLU6","Celf1"
"Inadl",1.90050236464557e-31,0.644030389824351,0.42,0.109,2.86614761612199e-27,"MEGLU6","Inadl"
"Cobl",2.21307243210741e-31,0.437886532599756,0.308,0.06,3.33753453486118e-27,"MEGLU6","Cobl"
"Cpne5",2.33044805169728e-31,0.886251208144663,0.552,0.195,3.51454870676467e-27,"MEGLU6","Cpne5"
"Rap1gds1",3.03569436353059e-31,1.12613311946065,0.797,0.478,4.57813066964048e-27,"MEGLU6","Rap1gds1"
"Fam3c",3.1237626259971e-31,0.711811994426645,0.608,0.22,4.71094641626622e-27,"MEGLU6","Fam3c"
"Myo5a",5.62520137330721e-31,0.869134635672757,0.818,0.455,8.48336619108461e-27,"MEGLU6","Myo5a"
"Stxbp5",6.4308723324111e-31,0.737621294060924,0.601,0.226,9.69839856450919e-27,"MEGLU6","Stxbp5"
"Scamp1",9.96845419204802e-31,0.873664510509121,0.881,0.564,1.50334257670276e-26,"MEGLU6","Scamp1"
"Tmsb10",1.07302606334497e-30,1.51919235034439,0.972,0.909,1.61823060613055e-26,"MEGLU6","Tmsb10"
"Cacna2d3",1.09738659758447e-30,0.385223072916728,0.287,0.052,1.65496872781714e-26,"MEGLU6","Cacna2d3"
"Lrrc8b",1.23879742920224e-30,0.408084738637077,0.329,0.068,1.86823040297991e-26,"MEGLU6","Lrrc8b"
"Hace1",1.58889332841361e-30,0.531719010042017,0.42,0.11,2.39621002858057e-26,"MEGLU6","Hace1"
"Adora1",2.24760727708929e-30,0.707849600054026,0.636,0.236,3.38961653457836e-26,"MEGLU6","Adora1"
"Pole4",2.32453781175162e-30,0.715107837724606,0.699,0.3,3.50563547390261e-26,"MEGLU6","Pole4"
"Fam171b",3.40555734027158e-30,0.829975908956983,0.811,0.44,5.13592102486358e-26,"MEGLU6","Fam171b"
"Cadm2",3.44785714408759e-30,0.985463418619539,0.874,0.574,5.19971335899849e-26,"MEGLU6","Cadm2"
"Lhx2",3.53591133940883e-30,0.453149910168608,0.357,0.08,5.33250789096245e-26,"MEGLU6","Lhx2"
"Ptprg",6.97328900482403e-30,0.576656533902385,0.448,0.125,1.05164171481751e-25,"MEGLU6","Ptprg"
"Nexn",7.2118950270306e-30,0.315229130321978,0.217,0.031,1.08762588902649e-25,"MEGLU6","Nexn"
"Eef1a1",1.1554213230027e-29,1.03176677163067,0.937,0.945,1.74249089722038e-25,"MEGLU6","Eef1a1"
"Sema3f",1.1788832154543e-29,0.393927426643745,0.315,0.065,1.77787377722663e-25,"MEGLU6","Sema3f"
"Camk2n1",1.37029577457551e-29,1.2062029704231,0.916,0.713,2.06654305763733e-25,"MEGLU6","Camk2n1"
"Slitrk2",1.57142882210237e-29,0.26440196140178,0.21,0.03,2.36987180661258e-25,"MEGLU6","Slitrk2"
