"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cox7a1",0.00762984555790466,0.790701595123194,0.235,0.059,1,"MEGLU4","Cox7a1"
"Ctxn3",0.00762984555790466,0.712707371925218,0.235,0.059,1,"MEGLU4","Ctxn3"
"Pex2",0.00766128404872619,0.742556829959861,0.647,0.314,1,"MEGLU4","Pex2"
"Coq10b",0.00766501262296141,0.705199341760909,0.706,0.453,1,"MEGLU4","Coq10b"
"Gm1604a",0.00767059598456016,0.410947688766583,0.941,0.89,1,"MEGLU4","Gm1604a"
"Pde8b",0.00768037790902176,0.567518746890394,0.882,0.653,1,"MEGLU4","Pde8b"
"Ttc9b",0.00768573898319665,0.469571416181771,0.941,0.691,1,"MEGLU4","Ttc9b"
"N4bp1",0.00769174479975275,0.557827268280421,0.824,0.602,1,"MEGLU4","N4bp1"
"Mapk4",0.00771243595504622,0.614928214082876,0.824,0.513,1,"MEGLU4","Mapk4"
"Gm45844",0.00772314475717807,0.681815784233876,0.353,0.136,1,"MEGLU4","Gm45844"
"9330162G02Rik",0.00774115090968827,0.485654673101835,0.941,0.78,1,"MEGLU4","9330162G02Rik"
"Ric1",0.00774579510327833,0.526309093055141,0.882,0.614,1,"MEGLU4","Ric1"
"Zg16",0.00775317553821266,0.494398377522263,0.412,0.157,1,"MEGLU4","Zg16"
"Gm31812",0.00775783079693032,0.816224943174911,0.118,0.017,1,"MEGLU4","Gm31812"
"Ugt2b37",0.00775783079693032,0.604429593464264,0.118,0.017,1,"MEGLU4","Ugt2b37"
"Gm7252",0.00775783079693032,0.562410980308362,0.118,0.017,1,"MEGLU4","Gm7252"
"Gm48412",0.00775783079693032,0.448584468770336,0.118,0.017,1,"MEGLU4","Gm48412"
"Ccnd2",0.00778909548839599,0.707282562288434,0.647,0.36,1,"MEGLU4","Ccnd2"
"Gm47252",0.00780221269759415,0.901006870522169,0.294,0.093,1,"MEGLU4","Gm47252"
"Rnf123",0.00781127528426037,0.709304854002562,0.588,0.305,1,"MEGLU4","Rnf123"
"5031415H12Rik",0.0078132916872651,0.792956326968977,0.176,0.038,1,"MEGLU4","5031415H12Rik"
"Ebf1",0.00783047625623199,0.536258764743744,0.941,0.746,1,"MEGLU4","Ebf1"
"Paqr8",0.00784759088967659,0.778112952417643,0.647,0.428,1,"MEGLU4","Paqr8"
"Gm23547",0.00785008022192614,0.915035417049672,0.235,0.064,1,"MEGLU4","Gm23547"
"Gm53055",0.00785876040806134,0.773012142272442,0.529,0.275,1,"MEGLU4","Gm53055"
"Tysnd1",0.00786718306065936,0.957085324328787,0.412,0.182,1,"MEGLU4","Tysnd1"
"Lrrc6",0.00795604148451317,0.384073745251698,0.647,0.305,1,"MEGLU4","Lrrc6"
"Nol4",0.00796561661940751,0.494953003126516,1,0.771,1,"MEGLU4","Nol4"
"Leng8",0.00797371990372157,0.727199607196437,0.647,0.364,1,"MEGLU4","Leng8"
"Gm28177",0.00799619562302239,0.79162687299486,0.353,0.131,1,"MEGLU4","Gm28177"
"Npy1r",0.00799730058120711,0.838679309656422,0.353,0.127,1,"MEGLU4","Npy1r"
"Slc22a21",0.00802678399448713,0.632597016047394,0.235,0.064,1,"MEGLU4","Slc22a21"
"Gm43192",0.00803212932782219,0.718574696096256,0.176,0.038,1,"MEGLU4","Gm43192"
"Mir6398.1",0.0080631851024011,0.791867669641358,0.118,0.017,1,"MEGLU4","Mir6398"
"Tsx",0.0080631851024011,0.768744837442581,0.118,0.017,1,"MEGLU4","Tsx"
"Gm10109",0.0080631851024011,0.743449789833536,0.118,0.017,1,"MEGLU4","Gm10109"
"Gm14549",0.0080631851024011,0.743216484330359,0.118,0.017,1,"MEGLU4","Gm14549"
"Gm45420",0.0080631851024011,0.694590003334347,0.118,0.017,1,"MEGLU4","Gm45420"
"1700072O05Rik",0.0080631851024011,0.673646626751893,0.118,0.017,1,"MEGLU4","1700072O05Rik"
"Smco1",0.0080631851024011,0.655833345274461,0.118,0.017,1,"MEGLU4","Smco1"
"Eqtn",0.0080631851024011,0.637519214283536,0.118,0.017,1,"MEGLU4","Eqtn"
"Gm45719",0.0080631851024011,0.633789774084545,0.118,0.017,1,"MEGLU4","Gm45719"
"Gm43625",0.0080631851024011,0.604248157424217,0.118,0.017,1,"MEGLU4","Gm43625"
