"","stat","nFeature_RNA","STAR.unique.aligned","STAR.perc","boot_score_ttype","cor_ttype"
"1","mean",7763.29644268775,466472.604743083,0.220287875902534,0.874703557312253,0.379243764523422
"2","sd",2629.42863064921,414373.909693873,0.139611711678802,0.152225589264676,0.153484105782795
"3","sem",165.310761657174,26051.4644983699,0.00877731311086632,0.00957034080017703,0.00964946305576644
