"","Genotype","exc","inh","genotype"
"1","M11GTTG-Fz10-CreER",50,65,"M11GTTG-Fz10-CreER"
"2","M11GTTG-Sox2-CreER",67,71,"M11GTTG-Sox2-CreER"
