"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Ppp3cb",2.1058540016511e-14,0.237400494958534,0.562,0.455,3.17583841989003e-10,"Ppp3cb"
"Mboat7",2.12030991255628e-14,0.204276655298903,0.367,0.257,3.19763937912613e-10,"Mboat7"
"Rpl7a",2.16484390930378e-14,0.232862278690394,0.72,0.634,3.26480109962104e-10,"Rpl7a"
"Rpl36",2.45094512890415e-14,0.287312678075003,0.856,0.851,3.69627034890035e-10,"Rpl36"
"Mrfap1",2.66511539904866e-14,0.270536833413819,0.888,0.876,4.01926053330528e-10,"Mrfap1"
"Dync1h1",2.67115248750498e-14,0.20012638576356,0.58,0.458,4.02836506640626e-10,"Dync1h1"
"Fus",2.88528258473262e-14,0.236858277211587,0.757,0.684,4.35129466603526e-10,"Fus"
"Sdf4",2.9945698375909e-14,0.219865071759554,0.575,0.461,4.51611077207084e-10,"Sdf4"
"Cnnm1",3.00142208048282e-14,0.20406014355975,0.389,0.272,4.52644463957614e-10,"Cnnm1"
"Ubl5",3.03885209834626e-14,0.281835396555873,0.845,0.802,4.58289284951599e-10,"Ubl5"
"Aip",3.15531260656018e-14,0.210874572238148,0.45,0.336,4.75852694195341e-10,"Aip"
"Ids",3.521889172854e-14,0.227444296919697,0.46,0.346,5.31136106158111e-10,"Ids"
"Rpl27a",3.70728701210687e-14,0.263398475159603,0.627,0.531,5.59095954295836e-10,"Rpl27a"
"Atp2b2",3.82551606995092e-14,0.229749450683524,0.731,0.629,5.76926078509298e-10,"Atp2b2"
"Vti1b",3.87575582960171e-14,0.239265544460949,0.656,0.56,5.84502736662234e-10,"Vti1b"
"Cygb",4.12905611401747e-14,0.24116663070694,0.561,0.451,6.22702952554975e-10,"Cygb"
"Ddx24",4.19357163711289e-14,0.226172960295336,0.716,0.616,6.32432538592994e-10,"Ddx24"
"Myo5a",4.95429788781919e-14,0.226908390958473,0.544,0.429,7.47157664462011e-10,"Myo5a"
"Map2k1",6.32628307717338e-14,0.240665553910281,0.458,0.354,9.54066750868517e-10,"Map2k1"
"Kpna1",6.39765565197407e-14,0.227109156416355,0.386,0.277,9.64830448874209e-10,"Kpna1"
"Cryzl1",6.6098757266826e-14,0.211509590451729,0.432,0.319,9.96835358341004e-10,"Cryzl1"
"Rps17",7.52449111517642e-14,0.25552462320483,0.837,0.826,1.13476850507976e-09,"Rps17"
"H3f3a",7.74169758671037e-14,-0.224945979427035,0.387,0.503,1.16752541305179e-09,"H3f3a"
"Tmem132c",8.38986352651083e-14,0.262363001867065,0.114,0.05,1.2652753184331e-09,"Tmem132c"
"Gng2",8.65730781876103e-14,0.222177617308535,0.585,0.476,1.30560859214735e-09,"Gng2"
"Tango2",9.2780062820353e-14,0.236996134467598,0.602,0.497,1.39921612739374e-09,"Tango2"
"Psd3",1.03245599373111e-13,-0.283604626635102,0.295,0.4,1.55704688414588e-09,"Psd3"
"Tollip",1.26467499148878e-13,0.207081407411606,0.535,0.425,1.90725635466423e-09,"Tollip"
"G3bp2",1.48023434577023e-13,0.211212179010517,0.672,0.577,2.23234141685608e-09,"G3bp2"
"Kcna6",1.51397964510727e-13,0.315992107651491,0.518,0.421,2.28323270278627e-09,"Kcna6"
"Prkce",1.68558317604212e-13,0.227156352279871,0.568,0.458,2.54202798778913e-09,"Prkce"
"Spop",2.35120493512984e-13,0.230585527283651,0.721,0.664,3.54585216266931e-09,"Spop"
"Mrps24",2.3798665434118e-13,0.200419637863149,0.699,0.611,3.58907673411933e-09,"Mrps24"
"Sod1",2.55685434337545e-13,0.211640325782713,0.628,0.524,3.85599203524452e-09,"Sod1"
"Unc5d",2.73460617494711e-13,0.206502272018735,0.305,0.201,4.12405957243773e-09,"Unc5d"
"Chd3",2.82710883254368e-13,0.276714303567356,0.76,0.689,4.26356283035913e-09,"Chd3"
"Epb41l1",2.88749828002103e-13,0.210623241709996,0.511,0.403,4.35463615609971e-09,"Epb41l1"
"Ralyl",3.04306921835693e-13,-0.250575166528919,0.441,0.545,4.58925268820408e-09,"Ralyl"
"Sms",3.15883563227981e-13,0.218623365667669,0.544,0.438,4.76384001704119e-09,"Sms"
"Bola2",3.97341531879192e-13,0.203423907408971,0.614,0.498,5.99230764227009e-09,"Bola2"
"Pdxk",4.07255599664527e-13,-0.260201392681741,0.475,0.571,6.14182169854073e-09,"Pdxk"
"Sparcl1",4.09968350036949e-13,0.200988844420811,0.414,0.299,6.18273268690723e-09,"Sparcl1"
"Ctxn2",4.1004197381044e-13,0.369904904062346,0.604,0.552,6.18384300703525e-09,"Ctxn2"
"Fyco1",4.22624887144545e-13,-0.205281770404042,0.187,0.289,6.37360592302689e-09,"Fyco1"
"Cit",4.28537180826664e-13,0.258079472428846,0.76,0.684,6.46276922404692e-09,"Cit"
"Tcp1",4.77095760880212e-13,0.224864354511421,0.476,0.373,7.19508116983448e-09,"Tcp1"
"Slc12a5",4.96446052282368e-13,0.238413052177179,0.791,0.728,7.48690291447039e-09,"Slc12a5"
"Nudc",5.03281333326438e-13,0.219964282525616,0.649,0.551,7.58998578789602e-09,"Nudc"
"Vstm2b",5.17386032434765e-13,-0.21896249081155,0.324,0.437,7.80269875514869e-09,"Vstm2b"
"Nop10",5.95300832790469e-13,0.250842602831808,0.815,0.776,8.97773185931306e-09,"Nop10"
"Kcnq1ot1",6.74874738348244e-13,0.220899317797385,0.808,0.73,1.01777859290299e-08,"Kcnq1ot1"
"Rgs4",6.78190590317606e-13,0.325412143718734,0.4,0.303,1.02277922925798e-08,"Rgs4"
"Cdk14",6.79154542146028e-13,0.215563494985495,0.444,0.337,1.02423296501042e-08,"Cdk14"
"Ntan1",8.46206070243492e-13,0.236121123487758,0.668,0.579,1.27616337453421e-08,"Ntan1"
"Tshz2",9.23553113340276e-13,0.293494948761772,0.59,0.491,1.39281045022847e-08,"Tshz2"
"Eif4h",9.46227221682957e-13,0.220158638176889,0.673,0.574,1.42700527302007e-08,"Eif4h"
"Fam49b",1.18640448390551e-12,0.211597795522527,0.47,0.367,1.7892166021779e-08,"Fam49b"
"Dock3",1.31649628219733e-12,0.224259798306263,0.437,0.332,1.9854080431818e-08,"Dock3"
"Tbca",1.32688879021669e-12,0.215871637593952,0.655,0.568,2.00108098452579e-08,"Tbca"
"Rps29",1.53325321175923e-12,0.286278275773112,0.917,0.913,2.3122991686541e-08,"Rps29"
"Cmas",1.71627494042128e-12,0.204654742923104,0.631,0.531,2.58831423764933e-08,"Cmas"
"H2afj",1.82424123670832e-12,0.209363380607108,0.497,0.39,2.75113820907982e-08,"H2afj"
"Nap1l1",2.08103684939093e-12,0.216916218644812,0.51,0.408,3.13841167256646e-08,"Nap1l1"
"Eif5",2.10307724778024e-12,0.252901786950743,0.735,0.681,3.17165079737738e-08,"Eif5"
"Atox1",2.14248062959221e-12,0.225953180023525,0.704,0.639,3.23107503748801e-08,"Atox1"
"Bmyc",2.31780306259181e-12,0.255759219869762,0.689,0.618,3.49547879869471e-08,"Bmyc"
"Atrnl1",2.37822700306662e-12,0.240287184262371,0.216,0.133,3.58660414332477e-08,"Atrnl1"
"Rps13",2.46854476158087e-12,0.224069861452914,0.9,0.889,3.7228123549401e-08,"Rps13"
"C1qtnf4",2.53896952140034e-12,0.253574322590274,0.535,0.444,3.82901993522385e-08,"C1qtnf4"
"Slc25a4",2.63821892750867e-12,0.239295464541606,0.953,0.938,3.97869796457582e-08,"Slc25a4"
"Csrnp3",3.02021864004148e-12,0.20364030176693,0.456,0.351,4.55479173104655e-08,"Csrnp3"
"Fis1",3.27983144972289e-12,0.22751340968201,0.811,0.768,4.94631380932709e-08,"Fis1"
"Amotl1",3.2908658340096e-12,0.215418076767123,0.277,0.187,4.96295476426987e-08,"Amotl1"
"Cox7a2l",3.36274001063259e-12,0.220254266687835,0.829,0.789,5.07134821003501e-08,"Cox7a2l"
"Sqstm1",3.69698576223684e-12,0.209518784111476,0.506,0.399,5.57542422802937e-08,"Sqstm1"
"Zwint",3.82761223745665e-12,0.22413115356007,0.929,0.906,5.77242201530838e-08,"Zwint"
"Vgf",4.23859995319421e-12,-0.344188067580459,0.164,0.262,6.39223258941218e-08,"Vgf"
"Rab24",5.84304487039838e-12,0.200038993139841,0.596,0.5,8.8118959690478e-08,"Rab24"
"Sh3bgrl3",6.15453370247831e-12,0.207108711114363,0.773,0.714,9.28165227670754e-08,"Sh3bgrl3"
"Gnaq",6.2156466282463e-12,0.232306258016726,0.555,0.467,9.37381668005824e-08,"Gnaq"
"Rap1gds1",7.1289337714162e-12,0.2746150000554,0.551,0.458,1.07511450206728e-07,"Rap1gds1"
"Cst3",7.14137717792732e-12,-0.297452124691992,0.704,0.755,1.07699109220322e-07,"Cst3"
"Rpl5",7.58163828403982e-12,0.208897578083916,0.546,0.452,1.14338686961605e-07,"Rpl5"
"Gm26917",7.60676398732903e-12,0.212419850278293,0.4,0.303,1.14717607692909e-07,"Gm26917"
"Dnajc6",7.69625729849024e-12,0.215393234367337,0.506,0.408,1.16067256318531e-07,"Dnajc6"
"Sirpa",8.3633674771049e-12,0.215413661300355,0.446,0.353,1.26127944922219e-07,"Sirpa"
"Man1a2",1.12395656503587e-11,0.205402258995007,0.402,0.303,1.69503889573059e-07,"Man1a2"
"Rcan2",1.37989457975997e-11,-0.242139481805908,0.614,0.721,2.08101901573601e-07,"Rcan2"
"Bloc1s2",1.40479015110171e-11,0.203000861940497,0.453,0.354,2.11856402687649e-07,"Bloc1s2"
"Canx",1.41309373556212e-11,0.219405275494452,0.69,0.609,2.13108666260123e-07,"Canx"
"Dlg4",1.51169837586293e-11,0.220808100745066,0.621,0.528,2.27979232063888e-07,"Dlg4"
"Hdac11",1.60808240824128e-11,0.224223402610735,0.697,0.624,2.42514907986867e-07,"Hdac11"
"Myl6",1.66494484358099e-11,0.224101106347877,0.635,0.556,2.51090331860449e-07,"Myl6"
"Gabarapl2",1.74022858805868e-11,0.201627272870531,0.733,0.661,2.6244387336513e-07,"Gabarapl2"
"Nefl",2.24874346209725e-11,0.284669459902041,0.636,0.551,3.39133001518887e-07,"Nefl"
"Slc24a3",2.4979884578123e-11,0.272187100212189,0.538,0.444,3.76721639322673e-07,"Slc24a3"
"Ndrg3",2.82006273841881e-11,0.23448226785725,0.699,0.631,4.2529366158094e-07,"Ndrg3"
"Ina",2.9607682327087e-11,0.25259097584839,0.716,0.647,4.46513457174799e-07,"Ina"
"Hs6st2",3.37246417944895e-11,0.232908646418578,0.386,0.287,5.08601322902696e-07,"Hs6st2"
"Kcnb2",3.88400556747655e-11,0.226408616950893,0.228,0.149,5.85746879631139e-07,"Kcnb2"
"Zbtb7a",4.07699138716704e-11,0.202619194026844,0.6,0.513,6.14851071098662e-07,"Zbtb7a"
"Zcchc17",4.81897320520996e-11,0.232150412102535,0.764,0.71,7.26749349077714e-07,"Zcchc17"
"Rabac1",5.6016811278183e-11,0.201910254037305,0.618,0.534,8.44789530886278e-07,"Rabac1"
"Lypd1",5.66822309155482e-11,0.226073241077976,0.259,0.168,8.54824724437382e-07,"Lypd1"
"1810037I17Rik",5.79899347724583e-11,0.231275768882369,0.731,0.665,8.74546206303444e-07,"1810037I17Rik"
"Rps28",6.26224367475522e-11,0.301131749562551,0.806,0.787,9.44408968589835e-07,"Rps28"
"Pcdh10",6.29860667125969e-11,0.206940832685116,0.456,0.357,9.49892872092674e-07,"Pcdh10"
"Cdk5r1",6.65044444409895e-11,0.214452943626555,0.666,0.584,1.00295352661456e-06,"Cdk5r1"
"Arf5",6.95187099254604e-11,0.223605990035708,0.751,0.696,1.04841166438587e-06,"Arf5"
"Luzp1",1.17986533732004e-10,0.266207439755417,0.472,0.384,1.77935491521235e-06,"Luzp1"
"Tef",1.18793589144932e-10,0.230788378065173,0.512,0.43,1.79152611789473e-06,"Tef"
"Nisch",1.22324173654022e-10,0.220753512037796,0.685,0.599,1.8447708628763e-06,"Nisch"
"Capza2",1.2336873217123e-10,0.212260396033718,0.489,0.399,1.86052384987433e-06,"Capza2"
"Plcb4",1.66036263039168e-10,0.350068709769167,0.577,0.518,2.50399288289369e-06,"Plcb4"
"Trappc2l",1.87397607162436e-10,0.216851147797972,0.697,0.639,2.82614331361669e-06,"Trappc2l"
"Mapk1",1.97842850573246e-10,0.213507430731398,0.591,0.514,2.98366802949513e-06,"Mapk1"
"Ntm",2.39902673252372e-10,-0.217359903837313,0.674,0.736,3.61797221531903e-06,"Ntm"
"Rph3a",2.60372430106597e-10,0.231346010753724,0.453,0.362,3.9266766184376e-06,"Rph3a"
"Cnih2",2.83645185523287e-10,0.239293766869477,0.663,0.58,4.27765304287669e-06,"Cnih2"
"Tpt1",2.84296351818725e-10,0.204537445399865,0.798,0.759,4.28747328177819e-06,"Tpt1"
"Cttnbp2",3.15660493788163e-10,0.216303739314497,0.427,0.339,4.76047590681929e-06,"Cttnbp2"
"Cxx1b",3.74749851906438e-10,0.226329801570765,0.625,0.557,5.65160251660098e-06,"Cxx1b"
"Snap47",4.70781016877173e-10,0.208111470933722,0.71,0.641,7.09984851552464e-06,"Snap47"
"Gnao1",8.42163316099422e-10,0.284075049755512,0.735,0.686,1.27006649700954e-05,"Gnao1"
"Hspa8",9.8659710446751e-10,0.215490993756074,0.767,0.712,1.48788709324745e-05,"Hspa8"
"Pianp",9.92093965036051e-10,0.201328060516078,0.499,0.415,1.49617690867087e-05,"Pianp"
"Ube2k",9.97588707784101e-10,0.201786200731672,0.545,0.477,1.5044635302092e-05,"Ube2k"
"Cplx2",2.40413323830285e-09,0.59124365165681,0.689,0.639,3.62567333668453e-05,"Cplx2"
"Dclk1",2.82943050119798e-09,0.23783786318979,0.566,0.485,4.26706413885668e-05,"Dclk1"
"Dnajc5",3.21243285895185e-09,0.206081966066985,0.808,0.761,4.84466999458528e-05,"Dnajc5"
"Syn2",3.59811766282228e-09,0.259704999636938,0.666,0.61,5.42632124730229e-05,"Syn2"
"Rpl39",1.11601986584713e-08,0.21552759009805,0.678,0.613,0.000168306955968406,"Rpl39"
"Stxbp1",1.20293290793908e-08,0.224914392164361,0.896,0.882,0.000181414311846292,"Stxbp1"
"Timm8b",1.24321499217092e-08,0.220767355531107,0.913,0.894,0.000187489252969296,"Timm8b"
"Atpif1",1.33444867441529e-08,0.210578751480867,0.952,0.963,0.00020124820458857,"Atpif1"
"Prkcb",1.34318464155332e-08,0.212879348813108,0.557,0.492,0.000202565675792656,"Prkcb"
"Gpx1",1.51333442617317e-08,0.222435101826061,0.632,0.578,0.000228225964811175,"Gpx1"
"Cfl1",3.27528362419712e-08,0.234573025185603,0.863,0.854,0.000493945523365168,"Cfl1"
"Cadm2",6.11797447914621e-08,0.20701098550476,0.625,0.564,0.00092265173120004,"Cadm2"
"Atp2a2",8.23446839512004e-08,-0.228864211639211,0.74,0.768,0.00124184017866805,"Atp2a2"
"Nos1",8.45370025129236e-08,-0.206228296511271,0.139,0.209,0.0012749025348974,"Nos1"
"Smim10l1",8.55409068407918e-08,0.202922803356164,0.631,0.579,0.00129004241606598,"Smim10l1"
"Diras2",1.19559281582066e-07,-0.210044681409075,0.346,0.417,0.00180307352553913,"Diras2"
"Pcdh17",1.26226696142246e-07,0.221351915065733,0.426,0.353,0.00190362480452121,"Pcdh17"
"Rora",1.97125476743659e-07,0.396137497526049,0.512,0.465,0.00297284931477113,"Rora"
"Fxyd6",3.6127002803401e-06,0.230473512450652,0.388,0.334,0.054483132927809,"Fxyd6"
"Slc1a1",4.62315062777748e-06,0.305711550807107,0.293,0.24,0.0697217346175122,"Slc1a1"
"Calb2",1.05272553053793e-05,0.338662800980054,0.24,0.186,0.158761537260425,"Calb2"
"Ptn",0.000515591106662719,-0.206642655013231,0.469,0.513,1,"Ptn"
"Elmod1",0.00286507882918825,0.295337958494256,0.36,0.339,1,"Elmod1"
"Pvalb",0.46189612306936,-0.350276123669636,0.231,0.23,1,"Pvalb"
"Xist",0.555234919001477,-0.21297646638156,0.256,0.253,1,"Xist"
