"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Ppp2r2c",4.51015746561779e-22,0.264677156767396,0.685,0.539,6.80176847389819e-18,"Ppp2r2c"
"Rorb",4.94574431075588e-22,0.481883703887031,0.31,0.192,7.45867699505095e-18,"Rorb"
"Jph4",6.03337133884535e-22,0.259985558157742,0.42,0.273,9.09892731611267e-18,"Jph4"
"Rpl18a",7.99967136784231e-22,0.312921929483117,0.898,0.872,1.2064304389843e-17,"Rpl18a"
"Nat8l",8.02861194272732e-22,0.302340767967766,0.658,0.515,1.21079496708271e-17,"Nat8l"
"St6galnac5",1.03153545978079e-21,-0.261155871737985,0.137,0.272,1.5556586268954e-17,"St6galnac5"
"Rpl22l1",1.12902432220962e-21,0.335937587830553,0.742,0.665,1.70268158032432e-17,"Rpl22l1"
"Tnfrsf21",1.50829044342664e-21,0.203479698956913,0.279,0.151,2.27465281773172e-17,"Tnfrsf21"
"Hs3st4",2.10385294708647e-21,0.215984405921622,0.216,0.104,3.1728206295011e-17,"Hs3st4"
"Dgcr2",2.39258210438209e-21,0.268090566632867,0.469,0.323,3.60825307161863e-17,"Dgcr2"
"Stx1b",3.43025831714049e-21,0.262458073122248,0.635,0.486,5.17317256807957e-17,"Stx1b"
"Ywhag",3.91135857617683e-21,0.319141668426221,0.9,0.861,5.89871986873228e-17,"Ywhag"
"Cyfip2",4.04237829689504e-21,0.290897159833008,0.742,0.616,6.09631070954742e-17,"Cyfip2"
"Shisa9",5.2879187598678e-21,0.240780587727405,0.281,0.155,7.97471028175663e-17,"Shisa9"
"Hpcal1",5.98840575174854e-21,0.271638045790158,0.263,0.142,9.03111471421198e-17,"Hpcal1"
"Pam",6.08892574342108e-21,0.283610061398949,0.447,0.31,9.18270891365334e-17,"Pam"
"Adgrl1",6.36043434019552e-21,0.313640050346996,0.728,0.611,9.59217102844886e-17,"Adgrl1"
"Pdcd4",7.63855815220034e-21,0.229584119928275,0.311,0.184,1.15197095493333e-16,"Pdcd4"
"Tex2",8.85439521428563e-21,0.209154495927512,0.332,0.196,1.33533134226642e-16,"Tex2"
"Rbfox3",9.48774309277066e-21,0.281578935509253,0.535,0.395,1.43084653582074e-16,"Rbfox3"
"Cmip",9.8139029390783e-21,0.300560796933802,0.65,0.517,1.4800347022424e-16,"Cmip"
"Mfsd6",1.01594596372187e-20,0.290924701348736,0.472,0.333,1.53214810788895e-16,"Mfsd6"
"Dynll2",1.03772195170307e-20,0.277302600171649,0.949,0.948,1.5649884753634e-16,"Dynll2"
"Tmod2",1.08513311991103e-20,0.324551146716995,0.708,0.589,1.63648925813782e-16,"Tmod2"
"Chp1",1.10173860311368e-20,0.236910111201019,0.375,0.238,1.66153198735575e-16,"Chp1"
"Reep5",1.21428706161257e-20,0.353906845120788,0.715,0.603,1.83126631761792e-16,"Reep5"
"Chl1",1.42133522352983e-20,0.281344712756747,0.363,0.227,2.14351565060534e-16,"Chl1"
"Eif3h",1.49470039604422e-20,0.30858137946219,0.741,0.642,2.25415766727429e-16,"Eif3h"
