"","PatchSeq.p_val","PatchSeq.avg_log2FC","PatchSeq.pct.1","PatchSeq.pct.2","PatchSeq.p_val_adj","gene"
"Dlg4",0.0161847334337575,0.236641358695682,0.846,0.772,1,"Dlg4"
"Timm9",0.0162019023115676,0.233245385357428,0.718,0.632,1,"Timm9"
"Trim66",0.0162032465734212,0.448367254522854,0.368,0.243,1,"Trim66"
"Adcy2",0.0162219317531916,0.303573635450531,0.761,0.632,1,"Adcy2"
"BC030500",0.0162264439171347,0.438187366736006,0.444,0.287,1,"BC030500"
"Zfp862-ps",0.0162570986380147,0.254710092024235,0.726,0.515,1,"Zfp862-ps"
"Shank3",0.0162991404286134,0.365662924404155,0.521,0.382,1,"Shank3"
"Kcnj5",0.0163520568573159,0.469102783715182,0.145,0.059,1,"Kcnj5"
"Ppm1f",0.0163679729341614,0.364350470638932,0.462,0.316,1,"Ppm1f"
"4933424G06Rik",0.0163786747951629,0.411833558207853,0.231,0.118,1,"4933424G06Rik"
"Usp22",0.0164007699133346,0.22937638234092,0.855,0.772,1,"Usp22"
"Adarb1",0.0164166237678666,0.230687234872091,0.829,0.765,1,"Adarb1"
"Tlr5",0.0164307591663254,0.336028804517942,0.444,0.316,1,"Tlr5"
"Dennd1b",0.0164467073885062,0.346058894756178,0.632,0.537,1,"Dennd1b"
"Pknox1",0.0164695395126656,0.358898148160172,0.385,0.243,1,"Pknox1"
"Slc9c1",0.0165003047856367,0.368364439350722,0.265,0.154,1,"Slc9c1"
"Adam11",0.016506944326226,0.348542066783772,0.538,0.382,1,"Adam11"
"Nudc-ps1",0.0165223064534989,0.23253714993489,0.726,0.618,1,"Nudc-ps1"
"Rad52",0.0165449599944732,0.400591915391829,0.479,0.301,1,"Rad52"
"Scn3b",0.0165851134514892,0.356674200671996,0.521,0.368,1,"Scn3b"
"Gm29164",0.0166023996573869,0.334059745069557,0.171,0.074,1,"Gm29164"
"Frrs1l",0.0166218903811004,0.219557305165238,0.889,0.779,1,"Frrs1l"
"Gem",0.0166423800129696,0.495420147243229,0.137,0.051,1,"Gem"
"4930593C16Rik",0.0166423800129696,0.505561499045615,0.137,0.051,1,"4930593C16Rik"
"Rnls",0.0166536502615233,0.243106324425118,0.496,0.338,1,"Rnls"
"Wdr33",0.0166724497034861,0.237182523724027,0.838,0.691,1,"Wdr33"
"Arpc3",0.016691049828288,0.274509214965777,0.735,0.588,1,"Arpc3"
"2810402E24Rik",0.0167050661732519,0.350458098823152,0.128,0.044,1,"2810402E24Rik"
"Relb",0.0167694947769731,0.518934346392197,0.282,0.169,1,"Relb"
"Gm34907",0.0168035464013565,0.441186999448388,0.145,0.059,1,"Gm34907"
"Zfp141",0.0168086249934915,0.373900432659475,0.427,0.279,1,"Zfp141"
"Kansl1l",0.0168488419823608,0.331227073382084,0.624,0.5,1,"Kansl1l"
"Cys1",0.0168503658823096,0.388651090589524,0.368,0.221,1,"Cys1"
"Osgep",0.0168609195697188,0.434196755005827,0.427,0.324,1,"Osgep"
"Gm31282",0.0168870206155526,0.512140954103824,0.282,0.162,1,"Gm31282"
"Jade1",0.0169052875370899,0.331574989743083,0.564,0.412,1,"Jade1"
"Wdr13",0.0169061880000611,0.368621762008883,0.496,0.36,1,"Wdr13"
"Ninl",0.0169113616337639,-0.350465264062503,0.179,0.309,1,"Ninl"
"P2rx4",0.0169142405866131,0.406046326234617,0.393,0.265,1,"P2rx4"
"4930451E10Rik",0.0169650893915786,0.499707795956966,0.359,0.235,1,"4930451E10Rik"
"2810455O05Rik",0.0169717143948717,0.414768990340747,0.103,0.029,1,"2810455O05Rik"
"Kcnn1",0.0169936853495778,-0.580368972242794,0.154,0.265,1,"Kcnn1"
"Leprot",0.0170286144849727,0.429679320532073,0.342,0.199,1,"Leprot"
"Col2a1",0.01703586464518,0.27216372250796,0.128,0.044,1,"Col2a1"
"Gpr155",0.0170643011108687,0.375986193012314,0.368,0.228,1,"Gpr155"
"Kpna7",0.0170906380112074,0.242716193603491,0.641,0.507,1,"Kpna7"
"Gm20604",0.0170986058903309,0.331403065433982,0.641,0.485,1,"Gm20604"
"Dnaaf5",0.0170992939727474,0.365607791200563,0.231,0.118,1,"Dnaaf5"
"Nudt10",0.0171263117389375,0.407438196716902,0.504,0.368,1,"Nudt10"
"Gm42444",0.0171430686027388,0.430722256816356,0.111,0.037,1,"Gm42444"
"Sugt1",0.0171591289692871,0.26299724073482,0.761,0.64,1,"Sugt1"
"Ptges",0.0171807919772072,0.460589779882053,0.256,0.147,1,"Ptges"
"Morn4",0.0171872898154022,0.402292160104571,0.487,0.346,1,"Morn4"
"Ipo7",0.01718740209563,0.290989450030273,0.684,0.551,1,"Ipo7"
"Slc25a19",0.0172018889550756,0.394878340651368,0.487,0.353,1,"Slc25a19"
"Wdr47",0.0172612409795765,0.243520145917306,0.855,0.735,1,"Wdr47"
"D230025D16Rik",0.0172776732056925,0.36575462497245,0.487,0.346,1,"D230025D16Rik"
"Oprl1",0.0172970145386886,0.377381675789019,0.504,0.375,1,"Oprl1"
"Cox16",0.0173081504744473,0.347099459395824,0.496,0.368,1,"Cox16"
"Abcc1",0.0173225022457873,0.299277917827151,0.453,0.301,1,"Abcc1"
"Gm30363",0.0173239892642883,0.473995570593256,0.111,0.037,1,"Gm30363"
"Shisa7",0.0173303433085924,0.339381039724463,0.333,0.191,1,"Shisa7"
"Pacsin3",0.0174118773327288,-0.417782648889776,0.111,0.228,1,"Pacsin3"
