"","max_z_score"
"MEGLU1",4.05885281852265
"MEGLU2",6.95900262074163
"MEGLU3",4.7459301343126
"MEGLU4",3.26606998524863
"MEGLU5",3.8401709237053
"MEGLU6",1.30452533987906
"MEINH10",2.48668406238655
"MEINH11",0.700476203568294
"MEINH12",1.72856577795133
"MEINH2",1.64609910344577
"MEINH3",2.03374508687042
"MEINH5",1.36246558260092
"MEINH6",0.770258124145759
"MEINH7",1.72322706825345
"MEINH8",0.50174815638731
"MEINH9",2.22272960703753
